1	40.9466
2	37.8487
3	34.4798
4	39.1045
5	39.4843
6	34.8099
7	35.3315
8	42.4762
9	37.2466
10	39.1502
11	31.468
12	32.8574
13	25.2011
14	36.7197
15	30.2774
16	28.2863
17	29.5697
18	24.9829
19	23.2258
20	14.2637
21	12.0464
22	12.0844
23	9.05703
24	6.5556
25	7.57854
26	6.86768
27	6.28346
28	6.62739
29	6.30093
30	6.36109
31	6.26865
32	6.29046
33	6.25818
34	6.23829
35	6.27057
36	6.27057
37	6.28854
38	6.23829
39	6.23829
40	6.23829
41	6.23829
42	6.23829
43	6.23829
44	6.23829
45	6.23829
46	6.23829
47	6.23829
48	6.23829
49	6.23829
50	6.23829
51	6.23829
52	6.23829
53	6.23829
54	6.23829
55	6.23829
56	6.23829
57	6.23829
58	6.23829
59	6.23829
60	6.23829
61	6.23829
62	6.23829
63	6.23829
64	6.23829
65	6.23829
66	6.23829
67	6.23829
68	6.23829
69	6.23829
70	6.23829
