0	16.7047
1	15.1054
2	17.2015
3	15.7849
4	17.4725
5	16.7853
6	15.0062
7	16.493
8	16.9347
9	16.2365
10	17.7872
11	15.7504
12	15.3538
13	15.1387
14	13.8259
15	13.4899
16	15.4938
17	14.1986
18	13.6192
19	11.5723
20	13.983
21	10.7545
22	11.52
23	12.0845
24	8.23011
25	8.66405
26	5.96313
27	6.68012
28	5.62047
29	5.31858
30	5.14325
31	5.09012
32	4.96623
33	4.96623
34	4.96623
35	4.96623
36	4.96623
37	4.96623
38	4.96623
39	4.96623
40	4.96623
41	4.96623
42	4.96623
43	4.96623
44	4.96623
45	4.96623
46	4.96623
47	4.96623
48	4.96623
49	4.96623
50	4.96623
51	4.96623
52	4.96623
53	4.96623
54	4.96623
55	4.96623
56	4.96623
57	4.96623
58	4.96623
59	4.96623
60	4.96623
61	4.96623
62	4.96623
63	4.96623
64	4.96623
65	4.96623
66	4.96623
67	4.96623
68	4.96623
69	4.96623
